3,3
3,5
4,3
4,5
4,7
4,6
5,5
5,3
6,3
6,7
6,6
7,5
8,3
8,5
9,3
9,5
9,6
10,3
10,5
11,3
11,6
13,3
13,6
14,3
14,7
14,6
15,3
15,5
15,6
16,3
17,3
18,3
19,3
21,3
22,3
22,5
22,7
22,6
23,3
23,7
23,6
24,3
24,5
24,6
26,3
26,5
26,6
27,3
27,5
27,7
27,6
28,3
28,5
29,3
29,7
29,6
30,3
30,5
30,6
31,3
31,6
32,7
32,6
33,3
33,7
33,6
34,3
34,5
35,3
36,3
36,5
36,7
36,6
37,3
37,5
38,3
38,5
38,6
39,3
39,5
39,6
40,3
41,3
41,5
42,3
42,5
42,6
43,3
43,5
43,6
44,3
44,5
44,7
44,6
45,3
45,5
45,6
46,3
47,3
48,3
48,6
49,3
50,3
50,5
51,3
51,6
52,3
53,3
53,6
54,3
54,7
54,6
55,3
55,5
55,6
56,3
56,5
56,7
56,6
57,3
57,5
57,6
58,3
58,5
58,6
59,3
59,5
60,3
61,3
62,3
63,3
64,3
64,5
66,3
67,3
67,6
68,3
69,3
69,5
70,3
70,7
71,3
71,5
71,7
71,6
72,3
72,5
73,3
73,5
73,6
74,3
74,5
74,6
75,3
76,3
77,3
78,3
79,3
80,3
81,3
81,6
82,3
82,5
82,7
82,6
83,3
83,5
84,3
84,5
84,6
85,3
86,3
86,5
86,6
87,3
88,3
89,3
89,6
90,3
91,3
91,6
92,3
93,3
93,6
94,3
95,3
95,5
95,7
95,6
96,3
96,5
96,6
97,3
97,6
99,3
99,5
100,3
101,3
101,6
102,3
102,7
102,6
103,3
103,6
105,3
105,5
106,3
106,5
107,3
107,6
108,3
108,5
108,7
108,6
109,3
109,5
109,6
110,3
111,3
112,3
112,5
112,7
112,6
113,3
113,5
113,7
114,3
114,5
115,3
115,5
115,6
116,3
116,5
116,6
117,3
118,3
119,3
119,5
120,3
120,6
121,3
121,5
121,7
121,6
122,3
122,7
123,3
123,5
124,3
124,5
125,3
125,5
126,3
126,5
126,7
126,6
127,3
128,3
129,3
129,7
129,6
130,3
130,5
131,3
131,5
131,7
131,6
132,3
132,5
133,3
133,7
134,3
134,5
134,6
134,8
135,3
135,5
136,3
137,3
137,5
137,6
138,3
138,5
138,6
139,3
139,5
139,6
140,3
141,3
141,5
142,3
143,3
143,5
143,7
143,6
144,3
145,3
145,5
145,6
146,3
146,5
146,8
147,3
148,3
148,5
148,6
151,3
152,3
152,6
153,3
153,5
153,6
154,3
154,6
155,3
155,6
156,3
156,5
157,3
157,6
158,3
158,5
158,6
159,3
159,5
159,7
159,6
160,3
160,5
161,3
161,6
162,3
162,5
163,3
163,5
163,6
164,3
164,5
165,3
166,3
166,5
167,3
167,5
167,6
168,3
168,6
169,3
170,3
170,5
171,3
172,3
172,5
173,3
173,5
174,3
174,6
174,8
175,3
175,5
176,3
176,5
177,3
178,3
179,6
179,3
180,3
181,3
181,5
182,3
183,3
183,6
184,3
184,8
186,3
187,5
187,3
187,8
188,3
188,5
188,7
188,6
188,8
189,3
189,6
190,3
190,5
191,3
192,3
192,5
192,6
193,3
193,6
194,3
194,5
194,7
194,6
194,8
195,3
196,3
196,6
197,3
197,5
197,6
197,8
198,3
198,6
199,3
199,5
200,3
200,5
200,7
200,8
201,3
201,5
201,7
201,6
201,8
202,3
202,6
203,3
203,5
203,6
204,3
204,6
205,3
205,5
206,3
206,5
206,6
207,3
207,5
207,7
207,6
207,8
208,3
208,6
208,8
209,3
